Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
Lemy D.M.; Pramezwary A.; Juliana; Pramono R.; Qurotadini L.N.,"Lemy, Diena M. (57193734223); Pramezwary, Amelda (57217629611); Juliana (57216590329); Pramono, Rudy (57191867792); Qurotadini, Lauditta Nabila (57415731400)",57193734223; 57217629611; 57216590329; 57191867792; 57415731400,Explorative Study of Tourist Behavior in Seeking Information to Travel Planning,2021,International Journal of Sustainable Development and Planning,16,8,,1583,1589,6,3,10.18280/ijsdp.160819,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123009759&doi=10.18280%2fijsdp.160819&partnerID=40&md5=28680657e18308b344a00c686d2e1d17,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85123009759
Gong J.Y.; Schumann F.; Chiu D.W.K.; Ho K.K.W.,"Gong, Jing Yi (57865390900); Schumann, Fred (55023866800); Chiu, Dickson W.K. (23388109000); Ho, Kevin K.W. (14834043100)",57865390900; 55023866800; 23388109000; 14834043100,Tourists' mobile information seeking behavior: An investigation on China's youth,2020,Destination Management and Marketing: Breakthroughs in Research and Practice,2-Jan,,,389,409,20,0,10.4018/978-1-7998-2469-5.ch022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136882627&doi=10.4018%2f978-1-7998-2469-5.ch022&partnerID=40&md5=1243eb399f9e8d91877ab7a629c0bdfd,Book chapter,Final,,Scopus,2-s2.0-85136882627
Sharif A.A.; Marciniak R.,"Sharif, Abrar Al (57208440940); Marciniak, Ruth (56291118700)",57208440940; 56291118700,The influence of electronic word-of-mouth on expatriate workers seeking tourist information: The case of Saudi Arabia,2019,Social Commerce: Consumer Behaviour in Online Environments,,,,169,188,19,1,10.1007/978-3-030-03617-1_10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064819454&doi=10.1007%2f978-3-030-03617-1_10&partnerID=40&md5=a7d52c35be0df5830d9b978350191847,Book chapter,Final,,Scopus,2-s2.0-85064819454
Alhemimah A.,"Alhemimah, Arej (58020900900)",58020900900,How COVID-19 impacts travel-health information seeking and tourists? travel intentions: A protection motivation theory-based model,2023,Journal of Destination Marketing and Management,27,,100757,,,,4,10.1016/j.jdmm.2022.100757,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144841737&doi=10.1016%2fj.jdmm.2022.100757&partnerID=40&md5=b53676783d09d2a953a568dd8fc76f1a,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85144841737
Chaisoong U.; Tirakoat S.; Jareanpon C.,"Chaisoong, Umaporn (57219237730); Tirakoat, Suwich (26421879800); Jareanpon, Chatklaw (8507597400)",57219237730; 26421879800; 8507597400,Tourist information-seeking behaviours using association rule mining,2021,ICIC Express Letters,15,9,,915,923,8,2,10.24507/icicel.15.09.915,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109279317&doi=10.24507%2ficicel.15.09.915&partnerID=40&md5=b3f1d661be549ea6a0f28e47b5335dbf,Article,Final,,Scopus,2-s2.0-85109279317
Choi J.,"Choi, Juwon (56849608600)",56849608600,Tourist Food Variety-Seeking Behavior under Uncertainty: The Moderating Role of Information Search,2019,Journal of Food Products Marketing,25,9,,944,960,16,5,10.1080/10454446.2019.1700403,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076440003&doi=10.1080%2f10454446.2019.1700403&partnerID=40&md5=f4d0abcf76f9058277246b4e6a8ae10d,Article,Final,,Scopus,2-s2.0-85076440003
Fardous J.; Du J.T.; Hansen P.; Choo K.-K.R.; Huang S.,"Fardous, Jannatul (57974230500); Du, Jia Tina (35219973300); Hansen, Preben (8862059000); Choo, Kim-Kwang Raymond (57208540261); Huang, Songshan (35214708800)",57974230500; 35219973300; 8862059000; 57208540261; 35214708800,"Group trip planning and information seeking behaviours by mobile social media users: A study of tourists in Australia, Bangladesh and China",2021,Journal of Information Science,47,3,,323,339,16,12,10.1177/0165551519890515,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077188651&doi=10.1177%2f0165551519890515&partnerID=40&md5=61f3dcffabdd55c559eb45e469a379e1,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85077188651
Adhikary M.; Adhikari A.,"Adhikary, Mahuya (57193775265); Adhikari, Atanu (55598472700)",57193775265; 55598472700,Micro-modelling of individual tourist?s information-seeking behaviour: a heterogeneity-specific study,2019,Current Issues in Tourism,22,6,,705,728,23,10,10.1080/13683500.2017.1307816,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016463945&doi=10.1080%2f13683500.2017.1307816&partnerID=40&md5=2332f3d790f49eabef9c0b9b3ca9ed82,Article,Final,,Scopus,2-s2.0-85016463945
Oshriyeh O.; Ghaffari M.; Nematpour M.,"Oshriyeh, Omid (57455902100); Ghaffari, Mohammad (57203765492); Nematpour, Mohammad (57211269677)",57455902100; 57203765492; 57211269677,Lines in the sand: the perceived risks of traveling to a destination and its influence on tourist information seeking behavior,2022,International Journal of Tourism Cities,8,4,,965,982,17,6,10.1108/IJTC-07-2021-0138,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124768807&doi=10.1108%2fIJTC-07-2021-0138&partnerID=40&md5=029bc2c3435d59b66f235b7f1a23431b,Article,Final,,Scopus,2-s2.0-85124768807
Nematpour M.; Ghaderi Z.; Ghaffari M.; Zare H.,"Nematpour, Mohammad (57211269677); Ghaderi, Zahed (55224344100); Ghaffari, Mohammad (57203765492); Zare, Hamid (58735242400)",57211269677; 55224344100; 57203765492; 58735242400,Different mirrors: studying the effect of perceived risks and information-seeking behavior on the perceived cognitive image of Chinese and Russian millennial tourists,2023,"Journal of Policy Research in Tourism, Leisure and Events",,,,,,,0,10.1080/19407963.2023.2284981,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178260897&doi=10.1080%2f19407963.2023.2284981&partnerID=40&md5=9f2c39188185e472d366bc91f3dfd2ab,Article,Article in press,,Scopus,2-s2.0-85178260897
Pineda J.M.B.; Florencio B.P.; Rold n L.S.,"Pineda, Juan Manuel Berbel (37460941300); Florencio, Beatriz Palacios (40462160900); Rold n, Luna Santos (57200101890)",37460941300; 40462160900; 57200101890,Foreign tourists as external-market information source for SMEs,2018,Journal of Quality Assurance in Hospitality and Tourism,19,3,,341,357,16,0,10.1080/1528008X.2017.1418701,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039554553&doi=10.1080%2f1528008X.2017.1418701&partnerID=40&md5=e0e96dbdaad83fcc2a8e9b09cec0a958,Article,Final,,Scopus,2-s2.0-85039554553
Sanz-Blas S.; Buzova D.; Carvajal-Trujillo E.,"Sanz-Blas, Silvia (25229295900); Buzova, Daniela (56922036300); Carvajal-Trujillo, Elena (55353865500)",25229295900; 56922036300; 55353865500,Investigating the moderating effect of information sources on cruise tourist behaviour in a port of call,2017,Current Issues in Tourism,20,2,,120,128,8,16,10.1080/13683500.2015.1091444,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945207791&doi=10.1080%2f13683500.2015.1091444&partnerID=40&md5=ef5ab0d5bc95e76b8711effa33392af2,Letter,Final,,Scopus,2-s2.0-84945207791
Fr¡as D.M.; Rodr¡guez M.A.; Alberto Casta¤eda J.; Sabiote C.M.; Buhalis D.,"Fr¡as, Dolores M. (22034504600); Rodr¡guez, Miguel A. (7404259571); Alberto Casta¤eda, J. (57211867515); Sabiote, Carmen M. (45161629600); Buhalis, Dimitrios (6603014980)",22034504600; 7404259571; 57211867515; 45161629600; 6603014980,The Formation of a Tourist Destination's Image via Information Sources: The Moderating Effect of Culture,2012,International Journal of Tourism Research,14,5,,437,450,13,80,10.1002/jtr.870,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865279589&doi=10.1002%2fjtr.870&partnerID=40&md5=d44baa0952c93ea7dc9abffe4144c641,Article,Final,,Scopus,2-s2.0-84865279589
Dey B.; Sarma M.K.,"Dey, Banasree (26436462300); Sarma, Mrinmoy K. (35323143900)",26436462300; 35323143900,Information source usage among motive-based segments of travelers to newly emerging tourist destinations,2010,Tourism Management,31,3,,341,344,3,84,10.1016/j.tourman.2009.03.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-73449105787&doi=10.1016%2fj.tourman.2009.03.015&partnerID=40&md5=558739bf3272657decfdd9ee86783dbf,Article,Final,,Scopus,2-s2.0-73449105787
Urrestarazu-Capell n R.; Correa-Fern ndez J.; S nchez-Cubo F.,"Urrestarazu-Capell n, Ricardo (57967550100); Correa-Fern ndez, Jos‚ (57967376200); S nchez-Cubo, Francisco (57225990991)",57967550100; 57967376200; 57225990991,The sources of information of the genealogical tourist: the influence of social networks and genealogical associations,2022,Heliyon,8,11,e11551,,,,1,10.1016/j.heliyon.2022.e11551,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141987059&doi=10.1016%2fj.heliyon.2022.e11551&partnerID=40&md5=afb303202ee6f8e6fa1bf0b3ef29136e,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85141987059
Draper J.,"Draper, Jason (25625994900)",25625994900,An exploratory study of the differences in prior travel experience and tourist information sources,2016,Tourism and Hospitality Research,16,2,,133,143,10,20,10.1177/1467358415600216,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971657212&doi=10.1177%2f1467358415600216&partnerID=40&md5=499dc837f25a21e39bbeb50430cd01ca,Article,Final,,Scopus,2-s2.0-84971657212
Tan W.-K.; Chen T.-H.,"Tan, Wee-Kheng (25961139900); Chen, Tong-He (55272128700)",25961139900; 55272128700,The usage of online tourist information sources in tourist information search: An exploratory study,2012,Service Industries Journal,32,3,,451,476,25,46,10.1080/02642069.2010.529130,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863131052&doi=10.1080%2f02642069.2010.529130&partnerID=40&md5=5f8d432468be3f08d5a1e72929d0e950,Article,Final,,Scopus,2-s2.0-84863131052
Gu Q.; Zhang H.; Chen M.; Chen C.,"Gu, Qiushi (57194692326); Zhang, Haiping (57192483889); Chen, Min (55733214300); Chen, Chongcheng (11940377800)",57194692326; 57192483889; 55733214300; 11940377800,Erratum: Regionalization analysis and mapping for the source and sink of tourist flows (ISPRS International Journal of Geo-Information (2019) 8 (314) DOI: 10.3390/ijgi8070314),2020,ISPRS International Journal of Geo-Information,9,1,35,,,,0,10.3390/ijgi9010035,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078326200&doi=10.3390%2fijgi9010035&partnerID=40&md5=26807439b0fa51864d9a77b06fef17be,Erratum,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85078326200
Hall S.; Emmett C.; Cope A.; Harris R.; Setiadi G.D.; Meservy W.; Berrett B.,"Hall, Sarah (57194626567); Emmett, Chad (7003508600); Cope, Amelia (57205567101); Harris, Ron (34770916900); Setiadi, Gilang Damar (57205553409); Meservy, William (57194624282); Berrett, Bryce (57205561850)",57194626567; 7003508600; 57205567101; 34770916900; 57205553409; 57194624282; 57205561850,"Tsunami knowledge, information sources, and evacuation intentions among tourists in Bali, Indonesia",2019,Journal of Coastal Conservation,23,3,,505,519,14,16,10.1007/s11852-019-00679-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060551897&doi=10.1007%2fs11852-019-00679-x&partnerID=40&md5=c2218a9e26f34683245f557565b3e128,Article,Final,,Scopus,2-s2.0-85060551897
Camprub¡ R.; Coromina L.,"Camprub¡, Raquel (35387631600); Coromina, Llu¡s (23468610900)",35387631600; 23468610900,The Influence of Information Sources on Tourist Image Fragmentation,2017,Tourism on the Verge,Part F1055,,,105,118,13,5,10.1007/978-3-319-44108-5_9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166670794&doi=10.1007%2f978-3-319-44108-5_9&partnerID=40&md5=3b4666ed8592dbda54861fc1893d5f16,Book chapter,Final,,Scopus,2-s2.0-85166670794
Bruwer J.; Lesschaeve I.,"Bruwer, Johan (6602621110); Lesschaeve, Isabelle (6602358376)",6602621110; 6602358376,Sources of Information Used by Tourists Travelling to Visit Canadian Winery Tasting Rooms,2012,Tourism Planning and Development,9,3,,269,289,20,28,10.1080/21568316.2012.672452,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864015854&doi=10.1080%2f21568316.2012.672452&partnerID=40&md5=3da7209088e97e457c69950d0227a4eb,Article,Final,,Scopus,2-s2.0-84864015854
Ahmed T.S.A.A.; Kadir A.R.A.,"Ahmed, Tarek Sayed Abdel Azim (56006477500); Kadir, Akmal Ramadan Abdul (56006729700)",56006477500; 56006729700,"Impact of information sources on the decision making process of travel to the Egyptian tourist destination after January 25,2011",2013,Tourism,61,4,,395,424,29,6,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892578937&partnerID=40&md5=f9c6d66e1d14eed3b345395db5a5a9a4,Article,Final,,Scopus,2-s2.0-84892578937
,,,"Corrigendum to Information Sources Used by European tourists: A Cross-National Study (Journal of Travel Research, (2018), 57, 2, (193-205), 10.1177/0047287516686426)",2021,Journal of Travel Research,60,5,,1158,1159,1,0,10.1177/0047287520922485,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084858727&doi=10.1177%2f0047287520922485&partnerID=40&md5=118807bf44a62bc17c8f95a9066e01ef,Erratum,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85084858727
Bruwer J.; Thach L.,"Bruwer, Johan (6602621110); Thach, Liz (21834958500)",6602621110; 21834958500,Wine tourists' use of sources of information when visiting a USA wine region,2013,Journal of Vacation Marketing,19,3,,221,237,16,51,10.1177/1356766712464768,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879765855&doi=10.1177%2f1356766712464768&partnerID=40&md5=6db1dd6e9cbb3f454c5d6bb10f3f73a1,Article,Final,,Scopus,2-s2.0-84879765855
Lau C.K.H.; Huang J.; Feng S.Y.P.; Qiu H.,"Lau, Chloe K. H. (35315708500); Huang, Jun (58111579400); Feng, Sandra Y. P. (57215046588); Qiu, Hanqin (57764078400)",35315708500; 58111579400; 57215046588; 57764078400,Profiling trusted information sources for Chinese tourists traveling to Pacific SIDS,2022,Journal of Global Scholars of Marketing Science: Bridging Asia and the World,32,1,,77,96,19,3,10.1080/21639159.2020.1808834,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148561792&doi=10.1080%2f21639159.2020.1808834&partnerID=40&md5=d3d07bba00974fcd15b7c0829b373c40,Article,Final,,Scopus,2-s2.0-85148561792
Fern ndez-Cavia J.; Vinyals-Mirabent S.; Fern ndez-Planells A.; Weber W.; Pedraza-Jim‚nez R.,"Fern ndez-Cavia, Jos‚ (14071333800); Vinyals-Mirabent, Sara (57205101201); Fern ndez-Planells, Ariadna (56418481400); Weber, Wiebke (56435242300); Pedraza-Jim‚nez, Rafael (55890005200)",14071333800; 57205101201; 56418481400; 56435242300; 55890005200,Tourist information sources at different stages of the travel experience,2020,Profesional de la Informacion,29,2,e290219,,,,12,10.3145/epi.2020.mar.19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084702571&doi=10.3145%2fepi.2020.mar.19&partnerID=40&md5=a366952d1ba185c005d5f0a3a9f860ba,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85084702571
Lee H.; Chung N.; Nam Y.,"Lee, Hyunae (56564389800); Chung, Namho (56719190700); Nam, Yoonjae (35811039200)",56564389800; 56719190700; 35811039200,Do online information sources really make tourists visit more diverse places?: Based on the social networking analysis,2019,Information Processing and Management,56,4,,1376,1390,14,24,10.1016/j.ipm.2018.01.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041580883&doi=10.1016%2fj.ipm.2018.01.005&partnerID=40&md5=a6fcfb0390bbff6af6098b44dcad3fb7,Article,Final,,Scopus,2-s2.0-85041580883
Urrestarazu-Capell n R.; Correa-Fern ndez J.; S nchez-Cubo F.,"Urrestarazu-Capell n, Ricardo (57967550100); Correa-Fern ndez, Jos‚ (57967376200); S nchez-Cubo, Francisco (57225990991)",57967550100; 57967376200; 57225990991,"Erratum to ?the sources of information of the genealogical tourist: The influence of social networks and genealogical associations? (Heliyon (2022) 8(11), (S2405844022028390), (10.1016/j.heliyon.2022.e11551))",2023,Heliyon,9,3,e14084,,,,0,10.1016/j.heliyon.2023.e14084,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151547274&doi=10.1016%2fj.heliyon.2023.e14084&partnerID=40&md5=75121e96c6928a4a0972c5a1668b52e6,Erratum,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85151547274
Byrd E.T.; Canziani B.; Boles J.S.; Williamson N.C.; Sonmez S.,"Byrd, Erick T. (25824555800); Canziani, Bonnie (6506025814); Boles, James S. (7102110842); Williamson, Nicholas Carlton (7006138756); Sonmez, Sevil (7004018146)",25824555800; 6506025814; 7102110842; 7006138756; 7004018146,Wine tourist valuation of information sources: the role of prior travel,2017,International Journal of Wine Business Research,29,4,,416,433,17,11,10.1108/IJWBR-04-2017-0020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035237989&doi=10.1108%2fIJWBR-04-2017-0020&partnerID=40&md5=648624645d480e1182aabccc277afc49,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85035237989
Zajadacz A.,"Zajadacz, Alina (36192369200)",36192369200,Sources of tourist information used by Deaf people. Case study: the Polish Deaf community,2014,Current Issues in Tourism,17,5,,434,454,20,29,10.1080/13683500.2012.725713,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902270398&doi=10.1080%2f13683500.2012.725713&partnerID=40&md5=4defb04f8445cb217de0150ff58501ba,Article,Final,,Scopus,2-s2.0-84902270398
Zainol R.; Bakar Z.A.; Ali S.J.S.,"Zainol, Rosilawati (36138892000); Bakar, Zainab Abu (6507862938); Ali, Sayed Jamaluddin Sayed (7403094239)",36138892000; 6507862938; 7403094239,Evaluation of GoogleMap as source of tourist spatial information,2010,"Proceedings - 2010 International Conference on Information Retrieval and Knowledge Management: Exploring the Invisible World, CAMP'10",,,5466946,56,60,4,0,10.1109/INFRKM.2010.5466946,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953903236&doi=10.1109%2fINFRKM.2010.5466946&partnerID=40&md5=634f43473ac64767d681e9320a2e181b,Conference paper,Final,,Scopus,2-s2.0-77953903236
Beerli-Palacio A.; Mart¡n-Santana J.D.,"Beerli-Palacio, Asunci¢n (9132741700); Mart¡n-Santana, Josefa D. (25929488600)",9132741700; 25929488600,Explaining the gap in the image of tourist destinations through the content of and exposure to secondary sources of information,2020,Current Issues in Tourism,23,20,,2572,2584,12,6,10.1080/13683500.2019.1658726,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071308454&doi=10.1080%2f13683500.2019.1658726&partnerID=40&md5=b711b11390f21435a5b6289f032438bd,Article,Final,,Scopus,2-s2.0-85071308454
Almeida-Santana A.; Moreno-Gil S.; Boza-Chirino J.,"Almeida-Santana, Arminda (57193764608); Moreno-Gil, Sergio (57190668738); Boza-Chirino, Jose (57201796777)",57193764608; 57190668738; 57201796777,The paradox of cultural and media convergence. Segmenting the European tourist market by information sources and motivations,2018,International Journal of Tourism Research,20,5,,613,625,12,13,10.1002/jtr.2210,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046123900&doi=10.1002%2fjtr.2210&partnerID=40&md5=df7e0866305278cacc5ba7845dc14a46,Article,Final,,Scopus,2-s2.0-85046123900
Luo M.; Feng R.; Cai L.A.,"Luo, Man (57194860119); Feng, Ruomei (15044302500); Cai, Liping A. (35315646600)",57194860119; 15044302500; 35315646600,Information search behavior and tourist characteristics: The internet vis-…-vis other information sources,2013,"Handbook of Consumer Behavior, Tourism, and the Internet",,,,15,25,10,10,10.1300/J073v17n02_02,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957710213&doi=10.1300%2fJ073v17n02_02&partnerID=40&md5=dab5698f4164af29dbdcc2601bb4c427,Book chapter,Final,,Scopus,2-s2.0-84957710213
Jafarzadeh F.,"Jafarzadeh, Fatemeh (57091504600)",57091504600,Climate information sources (CISs) and tourist satisfaction,2013,Marketing in the Cyber Era: Strategies and Emerging Trends,,,,239,257,18,0,10.4018/978-1-4666-4864-7.ch016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956717558&doi=10.4018%2f978-1-4666-4864-7.ch016&partnerID=40&md5=7d1d1bb559ce9269213912b50bd336c0,Book chapter,Final,,Scopus,2-s2.0-84956717558
Andrade Su rez M.J.,"Andrade Su rez, Mar¡a Jos‚ (55315100800)",55315100800,The generation of destination's image through tourist information and communication sources: The case of Galicia; [La generaci¢n de la imagen del destino a trav‚s de las fuentes de informaci¢n y comunicaci¢n tur¡stica: El caso Gallego],2012,Revista de Estudios Regionales,,93,,17,41,24,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863892091&partnerID=40&md5=83a27282e88035d1e14ab492d0b4e4c9,Article,Final,,Scopus,2-s2.0-84863892091
Korneliussen T.; Greenacre M.,"Korneliussen, Tor (6507817769); Greenacre, Michael (26643069000)",6507817769; 26643069000,Information Sources Used by European Tourists: A Cross-National Study,2018,Journal of Travel Research,57,2,,193,205,12,9,10.1177/0047287516686426,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040792167&doi=10.1177%2f0047287516686426&partnerID=40&md5=8d8b661521c6baf4ba7ba4debac505bd,Article,Final,,Scopus,2-s2.0-85040792167
Al-Khateeb B.A.A.,"Al-Khateeb, Bilal Ahmad Ali (56299376900)",56299376900,Personal characteristics and situational characteristics as the mediating factors in the relationship between information source and information choice strategies of the Arab tourists in Malaysia,2019,International Journal of Business Information Systems,31,4,,479,498,19,3,10.1504/IJBIS.2019.101581,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070803734&doi=10.1504%2fIJBIS.2019.101581&partnerID=40&md5=a80926ba737094cf477078437d471174,Article,Final,,Scopus,2-s2.0-85070803734
Huete-Alcocer N.; Martinez-Ruiz M.P.; L¢pez-Ruiz V.R.; Izquiedo-Yusta A.,"Huete-Alcocer, Nuria (57195198126); Martinez-Ruiz, Maria Pilar (57393397100); L¢pez-Ruiz, V¡ctor Ra£l (25632485500); Izquiedo-Yusta, Alicia (56030388600)",57195198126; 57393397100; 25632485500; 56030388600,"Archeological tourist destination image formation: Influence of information sources on the cognitive, affective and unique image",2019,Frontiers in Psychology,10,OCT,2382,,,,15,10.3389/fpsyg.2019.02382,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074509188&doi=10.3389%2ffpsyg.2019.02382&partnerID=40&md5=452e4f778525e5cf1f3058d80b410b8d,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85074509188
Pahrudin P.; Hsieh T.-H.; Liu L.-W.; Wang C.-C.,"Pahrudin, Pahrudin (57224094948); Hsieh, Tsung-Hua (57606506100); Liu, Li-Wei (57188994982); Wang, Chia-Chun (58310121300)",57224094948; 57606506100; 57188994982; 58310121300,The Role of Information Sources on Tourist Behavior Post-Earthquake Disaster in Indonesia: A Stimulus?Organism?Response (SOR) Approach,2023,Sustainability (Switzerland),15,11,8446,,,,1,10.3390/su15118446,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161541980&doi=10.3390%2fsu15118446&partnerID=40&md5=58733532cb0d49b2ca7d6e098819c2f7,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85161541980
Kalantari H.D.; Jopp R.; Gholipour H.F.; Lim W.M.; Lim A.L.; Wee L.L.M.,"Kalantari, Hassan Daronkola (57221786661); Jopp, Ryan (36543800900); Gholipour, Hassan F. (57223400124); Lim, Weng Marc (57193912670); Lim, Ai Ling (56299934900); Wee, Lynn Ling Min (57226378008)",57221786661; 36543800900; 57223400124; 57193912670; 56299934900; 57226378008,"Information source and tourist expenditure: evidence from Sarawak, Malaysia",2023,Current Issues in Tourism,26,22,,3616,3650,34,5,10.1080/13683500.2022.2144154,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142378437&doi=10.1080%2f13683500.2022.2144154&partnerID=40&md5=9390f12c501895ad3607f013cabe08d5,Article,Final,,Scopus,2-s2.0-85142378437
Shankar S.R.; Mathew S.K.; Koshy E.R.,"Shankar, Sabari R. (57218278384); Mathew, Sonia Katherin (57940248600); Koshy, Elizabeth Renju (57226824422)",57218278384; 57940248600; 57226824422,Do Tourists' Motives Alter Based on What They See on E-Sources of Information? An SEM Approach to Determine the Impact,2023,International Journal of Hospitality and Tourism Systems,16,3,,1,11,10,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165369655&partnerID=40&md5=4f2ec896a63654abd3b5a46a787b05ed,Article,Final,,Scopus,2-s2.0-85165369655
Cheng Z.-C.; Ruan W.-Q.; Zhang S.-N.; Deng F.,"Cheng, Zi-Chin (58677139300); Ruan, Wen-Qi (57195468849); Zhang, Shu-Ning (57209942380); Deng, Fang (57455929500)",58677139300; 57195468849; 57209942380; 57455929500,What triggers tourists? anxiety? The differential impacts of crisis information source types in social media on tourists? cross-border travel anxiety,2023,Tourism Review,,,,,,,0,10.1108/TR-02-2023-0078,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175533875&doi=10.1108%2fTR-02-2023-0078&partnerID=40&md5=a583f6abcb1e913d220e9362d8f002a9,Article,Article in press,,Scopus,2-s2.0-85175533875
Garc¡a-Milon A.; Olarte-Pascual C.; Juaneda-Ayensa E.; Pelegr¡n-Borondo J.,"Garc¡a-Milon, Alba (57203691375); Olarte-Pascual, Cristina (55318848800); Juaneda-Ayensa, Emma (55872369000); Pelegr¡n-Borondo, Jorge (56073905700)",57203691375; 55318848800; 55872369000; 56073905700,Tourist purchases in a destination: what leads them to seek information from digital sources?,2021,European Journal of Management and Business Economics,30,2,,243,260,17,4,10.1108/EJMBE-09-2019-0153,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107051159&doi=10.1108%2fEJMBE-09-2019-0153&partnerID=40&md5=1142c6b6f156fa498ffe4f40686fa646,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85107051159
Song H.,"Song, Hanqun (36626177700)",36626177700,Linking Images to Information Sources: An Examination of Potential Chinese Tourists? Multi-sensory Images of the United Kingdom; [  ???????????: ?????????????????],2022,Journal of China Tourism Research,18,5,,913,927,14,1,10.1080/19388160.2021.1877860,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100044634&doi=10.1080%2f19388160.2021.1877860&partnerID=40&md5=acb520b7d8b86f79be706073d994272f,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85100044634
Zarezadeh Z.Z.; Benckendorff P.; Gretzel U.,"Zarezadeh, Zohreh Zara (55824160000); Benckendorff, Pierre (7801583867); Gretzel, Ulrike (6506950250)",55824160000; 7801583867; 6506950250,Online tourist information search strategies,2023,Tourism Management Perspectives,48,,101140,,,,1,10.1016/j.tmp.2023.101140,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163171599&doi=10.1016%2fj.tmp.2023.101140&partnerID=40&md5=2e06844c10c8c795584a99289da67dc8,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85163171599
Park O.-J.; Ryu J.-H.,"Park, Oun-Joung (25422533800); Ryu, Jong-hyun (55960721500)",25422533800; 55960721500,Cognitive fit effects of online reviews on tourists? information search,2019,Information Technology and Tourism,21,3,,313,335,22,3,10.1007/s40558-019-00145-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073677182&doi=10.1007%2fs40558-019-00145-2&partnerID=40&md5=f4c5ee49039845f3cb537750883f54ef,Article,Final,,Scopus,2-s2.0-85073677182
